#MSM,Aba-Sah Dadzie(9),Milan Stankovic(8),Matthew Rowe 0001(7),Amparo Elizabeth Cano Basave(4),Giuseppe Rizzo 0002(3),Markus Strohmaier(3),Andrea Varga(3),Zhemin Zhu(2),Amparo Elizabeth Cano(2),Mena B. Habib(2)
AAAI Spring Symposium: What Went Wrong and Why: Lessons from AI Research and Applications,Daniel G. Shapiro(2),Mehmet H. Göker(2),Paul Scerri(1),Sashank Varma(1),Carroll Thronesbery(1),Craig A. Knoblock(1),Milind Tambe(1),Jean-Gabriel Ganascia(1),Michael J. Pazzani(1),James P. Gunderson(1)
AAAI Technical Report (2),Sandip Sen(3),Trond Grenager(1),Michael Bowling(1),Yufeng Liu(1),Maarten Peeters(1),Kenneth A. De Jong(1),Stéphane Airiau(1),Katja Verbeeck(1),Austin McDonald(1),Michael A. Goodrich(1)
AAAI Technical Report (5),Cynthia Breazeal(2),Christine L. Lisetti(1),Andreas H. Marpaung(1),Ethan J. Tira-Thompson(1),Neil S. Halelamien(1),Colin T. Schmidt(1),David S. Touretzky(1),Guy Hoffman(1),Dennis Perzanowski(1),Damian M. Lyons(1)
AAAI Workshop: AI, Ethics, and Society,Benjamin Kuipers(2),Moshe Y. Vardi(1),Toby Walsh(1),Frank Lantz(1),Julian Togelius(1),Aaron Isaksen(1),Roman V. Yampolskiy(1),Mark O. Riedl(1),James MacGlashan(1),Kaj Sotala(1)
AAAI Workshop: Declarative Learning Based Programming,Carl P. L. Schultz(1),Sergey Paramonov 0001(1),Maurice van Keulen(1),Parisa Kordjamshidi(1),Danny Heinrich(1),Kristian Kersting(1),Tias Guns(1),Felix Gonsior(1),Samuel M. Kolb(1),Brend Wanders(1)
AAAI Workshop: Incentive and Trust in E-Communities,Ferran Torrent-Fontbona(1),Jie Zhang 0001(1),Beatriz López(1),Albert Pla(1),Mehrdad Nojoumian(1),Thomas T. Tran(1),Zeinab Noorian(1),Boris A. Galitsky(1),Christian Damsgaard Jensen(1),Abdullah Aref(1)
AAAI Workshop: Incentives and Trust in Electronic Communities,Yan Cao(1),Guangquan Xu(1),Yao Zhang(1),Abdullah Aref(1),Zeinab Noorian(1),Zhiyong Feng 0002(1),Babak Esfandiari(1),Jie Zhang 0002(1),Gaoxu Zhang(1),Renita Margaret Murimi(1)
AAAI Workshop: Knowledge Extraction from Text,Jane Yung-jen Hsu(2),Arthur G. de Paula(1),Yi-Ting Tsao(1),Kiri L. Wagstaff(1),Marko Grobelnik(1),Rogerio Bonatti(1),Arpit Sharma 0001(1),Mark James Carman(1),Aditya Joshi(1),David D. McDonald 0002(1)
AAAI Workshop: Learning Rich Representations from Low-Level Sensors,Marc Pickett(3),Michael S. P. Miller(1),Amy Sue Fire(1),Clayton T. Morrison(1),Ashique Rupam Mahmood(1),Yann LeCun(1),Ross W. Gayler(1),Benjamin Kuipers(1),Adrian Barbu(1),Richard S. Sutton(1)
AAAI Workshop: Learning for General Competency in Video Games,Erik Talvitie(2),Michael H. Bowling(2),Marlos C. Machado(2),Leandro Soriano Marcolino(1),Michael Bowling(1),Vaishnavh Nagarajan(1),Csaba Szepesvári(1),Nando de Freitas(1),Miroslav Bogdanovic(1),Dejan Markovikj(1)
AAAI Workshop: Modern Artificial Intelligence for Health Analytics,Byron C. Wallace(3),David C. Kale(2),Jenna Wiens(2),Finale Doshi-Velez(2),Kevin Plis(1),Tien Yin Wong(1),Cengiz Günay(1),Gilbert Lim(1),Theodore J. Perkins(1),Wynne Hsu(1)
AAAI Workshop: Multiagent Interaction without Prior Coordination,Vivek Dondeti(1),Muthukumaran Chandrasekaran(1),Arnav Jhala(1),Katie Genter(1),Tathagata Chakraborti(1),Stefano V. Albrecht(1),Somchaya Liemhetcharat(1),Prashant Doshi(1),Enrique Munoz de Cote(1),Pablo Hernandez-Leal(1)
AAAI Workshop: Space, Time, and Ambient Intelligence,Mehul Bhatt(4),Hans W. Guesgen(2),Bruno Bouchard 0001(1),Diane J. Cook(1),Jakob Suchan(1),Jens Dietrich 0001(1),Stephen Marsland(1),Farzad Amirjavid(1),Christian Freksa(1),Matthew Evans Klenk(1)
AAAI Workshops,Tuomas Sandholm(5),Felipe Meneguzzi(4),Ramon Fraga Pereira(4),Shlomo Zilberstein(3),Branislav Bosanský(3),Michael P. Wellman(3),Julian Togelius(3),David W. Aha(3),John P. Dickerson(3),Dionne M. Aleman(2)
AAAI/IAAI,Daphne Koller(13),Craig Boutilier(12),Tuomas Sandholm(12),Sebastian Thrun(11),Craig A. Knoblock(10),Steven Minton(10),Michael L. Littman(10),Manuela M. Veloso(9),Gheorghe Tecuci(9),Edmund H. Durfee(8)
AAAI/IAAI, Vol. 1,Victor R. Lesser(3),Alon Y. Levy(3),Thomas Schiex(3),Sven Koenig(2),Subbarao Kambhampati(2),Jean-Charles Régin(2),Shaul Markovitch(2),Toby Walsh(2),Reid G. Simmons(2),Marie-Christine Rousset(2)
AAATE Conf.,Klaus Miesenberger(11),Peter Cudd(10),Luc P. de Witte(9),Shoichiro Fujisawa(7),Cecilia Sik-Lányi(7),E. A. Draffan(6),Masayuki Booka(6),Mike Wald(5),Evert-Jan Hoogerwerf(5),Ricard Barberà-Guillem(5)
AABI,Kai Xu(2),Badr-Eddine Chérief-Abdellatif(2),Hong Ge(2),Thang D. Bui(2),Mohamed Tarek(2),Francisco J. R. Ruiz(2),Liam Paninski(2),Jiawei He(2),Dawen Liang(2),Cheng Zhang 0005(2)
AADIOS,Georg Regensburger(2),Thomas Cluzeau(1),Li Guo 0003(1),Anja Korporal(1),Peter Paule(1),Ivan Dimovski(1),Elena I. Ganzha(1),Sergei K. Suslov(1),Moulay A. Barkatou(1),Laurent Poinsot(1)
AAL,António J. S. Teixeira(4),António J. R. Neves(3),Miguel Sales Dias(3),Carlos Pereira(2),João Cunha(2),Hugo Gamboa(2),Hugo Silva 0001(2),Joaquim Alvarelhão(2),Alexandra Queirós(2),Osvaldo Pacheco(2)
AAMAS (1),Sarit Kraus(5),Milind Tambe(5),Moshe Tennenholtz(4),Stacy Marsella(4),Yoav Shoham(4),Michael Luck(4),Wojciech Jamroga(3),Shlomo Zilberstein(3),Sven Koenig(3),Matthijs T. J. Spaan(3)
AAMAS Workshops,Frank Dignum(4),Timothy J. Norman(4),Virginia Dignum(4),Pablo Noriega(3),Gal A. Kaminka(3),Leendert W. N. van der Torre(3),Javier Vázquez-Salceda(3),Huib Aldewereld(2),Ana García-Fornes(2),Julian A. Padget(2)
AAMAS-TRUST,Jaime Simão Sichman(2),K. Suzanne Barber(2),Rino Falcone(2),Pinar Yolum(2),Mario Paolucci(2),Henk Eertink(1),Robin Cohen(1),Torsten Eymann(1),Anarosa Brandão(1),Nathan Griffiths(1)
AB,Katsuhisa Horimoto(4),François Lemaire(3),François Boulier(3),Bud Mishra(3),Takeyuki Tamura(2),Heike Siebert(2),Marc Lefranc(2),Hirokazu Anai(2),Pierre-Emmanuel Morant(2),Hiroshi Yoshida(2)
ABZ,Michael Leuschel(17),Michael J. Butler(13),Klaus-Dieter Schewe(12),Marc Frappier(11),Richard Banach(9),Régine Laleau(9),Elvinia Riccobene(8),Yamine Aït Ameur(8),Patrizia Scandurra(8),Egon Börger(7)
ABiALS,Olivier Sigaud(7),Martin V. Butz(7),Gianluca Baldassarre(3),Tom Ziemke(3),Pierre Gérard(3),Giovanni Pezzulo(2),Joachim Hoffmann(2),Anthony F. Morse(2),Robert Lowe(2),Tomas Kulvicius(1)
ACA,Junjie Wu(5),Xingwei Wang 0001(3),Qiang Dou(3),Yong Dou(3),Zikai Nie(2),Depei Qian(2),Jinghua Feng(2),Lei Wang 0011(2),Tao Li(2),Hailong Yang(2)
ACC (1),Achuthsankar S. Nair(4),Manoj Singh Gaur(3),Vijay Laxmi(3),Sabu M. Thampi(2),Rajbir Kaur(2),Manpreet Singh(2),P. Varalakshmi(2),K. L. Thomas(2),Sudharsan Sundararajan(1),Anitha Sheela Kankacharla(1)
ACC (4),Sabu M. Thampi(4),Hira Sathu(2),Mohib A. Shah(2),Imad M. Abbadi(2),Tarun Kancharla(2),G. Jisha(2),S. Saraswathi(2),Paul Rodrigues 0002(2),Carlos Alberto Malcher Bastos(1),S. Sathiya(1)
ACCAS,Takeyoshi Dohi(5),Kenta Kuwana(5),Ken Masamune(5),Kitaro Yoshimitsu(2),Yoshihiro Muragaki(2),Takashi Suzuki(2),Yo Kobayashi(2),Hiroshi Iseki(2),Masakatsu G. Fujie(2),Noriaki Yamanaka(2)
ACCV (2),Tieniu Tan(10),Xilin Chen(10),Shiguang Shan(8),Hanqing Lu(8),In-So Kweon(8),Shihong Lao(7),Yasushi Yagi(7),Katsushi Ikeuchi(6),Kaiqi Huang(5),Qingshan Liu 0001(5)
ACCV (5),Shiguang Shan(3),Hu Han 0001(3),Xilin Chen(3),Yunde Jia(3),Ian D. Reid 0001(3),Yue Wu 0001(2),Takayuki Okatani(2),Liangji Fang(2),C. Lee Giles(2),Xiao Song(2)
ACCV Workshops (2),Reinhard Klette(8),Daisuke Deguchi(4),Ichiro Ide(4),John See(4),Hiroshi Murase(4),Tomokazu Takahashi(3),Hideo Saito(3),Hiromi T. Tanaka(3),Wataru Wakita(3),Naokazu Yokoya(3)
ACDC@ICAC,Jeffrey S. Chase(2),Armando Fox(1),Harold C. Lim(1),Peter Bodík(1),Julio César López-Hernández(1),Charles Sutton(1),Tal Garfinkel(1),Steven W. Schlosser(1),Michael I. Jordan(1),Elie Krevat(1)
