#MSM,Aba-Sah Dadzie(9),Milan Stankovic(8),Matthew Rowe 0001(7),Amparo Elizabeth Cano Basave(4),Giuseppe Rizzo 0002(3),Markus Strohmaier(3),Andrea Varga(3),Zhemin Zhu(2),Amparo Elizabeth Cano(2),Mena B. Habib(2)
ESIAT (2),Xuelei Wang(4),Chen Xin(3),Xinhua Zhao(3),Aigang Lu(3),Xuancang Wang(3),Deqian Pang(3),Xi Chen(3),Tianming Wang(3),Shichang Kang(3),Liliang Ren(3)
ESIRMT/HyTra@EACL,Bogdan Babych(3),Rafael E. Banchs(2),Reinhard Rapp(2),Rao Muhammad Adeel Nawab(1),Serge Sharoff(1),Martin Thomas(1),Sandipan Dandapat(1),Marina Vassiliou(1),Sokratis Sofianopoulos(1),Timm Heuss(1)
ESM,Dietmar P. F. Möller(7),Eugene J. H. Kerckhoffs(6),Felix Breitenecker(6),Richard N. Zobel(5),Demetres D. Kouvatsos(5),Jari Porras(4),Jim Tørresen(4),Jouni Ikonen(4),Rik Van Landeghem(4),Gilbert A. Chauvet(3)
ESORICS (1),Mauro Conti(7),Robert H. Deng(6),Joseph K. Liu(5),Peng Liu 0005(4),Liqun Chen(4),Jian Weng 0001(4),Duncan S. Wong(4),Willy Susilo(4),Heiko Mantel(3),Andrei Sabelfeld(3)
ESPM@SC,Iman Faraji(1),Yuki Tsujita(1),Ada Gavrilovska(1),Dhabaleswar K. Panda(1),Yuichiro Ajima(1),Bala Seshasayee(1),Marc Snir(1),Khaled Hamidouche(1),Hartmut Kaiser(1),Alex Brooks(1)
ESSCA@UCC,Josef Spillner(4),Diego Martín(1),Andreas Christoforou(1),Erez Freiberger(1),Erwin Van Eyk(1),Yessica Bogado-Sarubbi(1),Massimo Villari(1),Serhii Dorodko(1),Fabio López-Pires(1),Walter Benítez-Davalos(1)
ESSLLI Student Sessions,Zhuoye Zhao(2),Rasmus K. Rendsvig(2),Daniel Lassiter(2),Tin Perkov(2),Szymon Klarman(1),Eric Pacuit(1),Yulia Zinova(1),Heather Burnett(1),Haukur Páll Jóhnsson(1),Andreas Schnabl(1)
ESTImedia,Soonhoi Ha(18),Nikil D. Dutt(12),Andy D. Pimentel(10),Samarjit Chakraborty(10),Francky Catthoor(9),Todor P. Stefanov(7),Lothar Thiele(6),Henk Corporaal(6),Naehyuck Chang(6),Petru Eles(6)
ESWS,Enrico Motta(3),John Domingue(2),Pablo Castells(2),Wolfgang Nejdl(2),Jesús Contreras(2),Sam Chapman(2),York Sure(2),Alexiei Dingli(2),Mariano Rico(2),V. Richard Benjamins(2)
ET4S@GIScience,Andrew T. Duchowski(3),Arzu Çöltekin(2),Krzysztof Krejtz(2),Sara Maggi(1),Christoph Schinko(1),Byron P. Nakos(1),Bernd Ludwig(1),Inês Guedes(1),Vassilios Krassanakis(1),Pieter Vansteenkiste(1)
ETH Zurich, Department of Computer Science / Technical Report,Markus Tresch(1)
ETX,Michael G. Burke(4),Martin P. Robillard(4),Andrew P. Black(3),Tim Verbelen(3),Alessandro Orso(3),André van der Hoek(3),Margaret-Anne D. Storey(3),Thomas Zimmermann 0001(3),Li-Te Cheng(2),Howard Foster(2)
EUCognition,Ron Chrisley(2),Jacques Penders(2),David Vernon(2),Markus Vincze(2),Lyuba Alboul(2),Andreas Theodorou(1),Kanishka Ganguly(1),Paul Baxter 0001(1),Konstantinos Zampogiannis(1),Claudius Gros(1)
EUL Verlag,Sixten Schockert(1)
EUMAS,Nicholas R. Jennings(9),Massimo Cossentino(8),Jeffrey S. Rosenschein(6),Juan A. Rodríguez-Aguilar(5),Carles Sierra(5),Karl Tuyls(5),Sascha Ossowski(5),Julian A. Padget(4),Marie-Pierre Gleizes(4),Ariel D. Procaccia(4)
EUNICE,Aiko Pras(15),Thomas Bauschert(8),Yuming Jiang(7),Poul E. Heegaard(7),Ralf Lehnert(6),Marco Porsch(5),Tiago Fioreze(5),Finn Arve Aagesen(5),Tuan Anh Trinh(5),Miquel Oliver(4)
EUNIS,Viljan Mahnic(3),Eva Hladká(2),Iva Hollanová(2),Jan Pazdziora(2),Josef Hajkr(2),Jean-François Desnos(2),Peter Schirmbacher(2),Michal Brandejs(2),Mirka Misáková(2),Erkki Sutinen(2)
EURASIP J. Audio Speech Music. Process.,Doroteo Torre Toledano(8),Wei-Qiang Zhang 0001(8),Jia Liu 0001(8),Javier Tejedor(8),Laura Docío Fernández(7),Paula Lopez-Otero(7),Tetsuya Takiguchi(7),Michael T. Johnson(7),Yasuo Ariki(7),Dan Qu(5)
EURASIP J. Inf. Secur.,Alessandro Piva(8),Andreas Uhl(7),Mauro Barni(6),Zekeriya Erkin(5),Dominik Engel(5),Stefan Katzenbeisser 0001(4),Reginald L. Lagendijk(4),Patrick Bas(3),Tiziano Bianchi(3),Christoph Busch(3)
EURFID,Filippo Gandino(5),Renato Ferrero(4),Maurizio Rebaudengo(3),Javier Vales-Alonso(3),Bartolomeo Montrucchio(3),Pablo López-Matencio(2),Diego Masotti(2),Luca Roselli(2),Roberto Alesii(2),Piergiuseppe Di Marco(2)
EUROCAL,James H. Davenport(5),John P. Fitch(4),Vladimir P. Gerdt(4),Michael Pohst(3),Tateaki Sasaki(3),Bruce W. Char(3),J. A. van Hulzen(3),R. N. Fedorova(2),A. Yu. Zharkov(2),Julian A. Padget(2)
EUROCAST (1),Michael Affenzeller(39),Stefan Wagner 0002(18),Gabriel Kronberger(18),Günther R. Raidl(16),Michael Kommenda(16),Stephan M. Winkler(14),Andreas Beham(14),Miguel A. Vega-Rodríguez(9),Erik Pitzer(9),Alexis Quesada-Arencibia(8)
EUROCODE,Gerard Battail(3),Marc Girault(2),Jean-Claude Belfiore(2),K. Leeuwin(2),Andrea Sgarro(2),Gérard D. Cohen(2),Patrick G. Farrell(2),Rémi Sfez(2),Pascale Charpin(2),A. O. Mabogunje(1)
EUROCRYPT (3),Mark Zhandry(5),Amit Sahai(5),Yuval Ishai(5),Christian Majenz(4),Gorjan Alagic(4),Eike Kiltz(3),David J. Wu(3),Abhishek Jain 0002(3),Alexander Russell(3),Shuichi Katsumata(3)
EUSFLAT,Javier Montero(2),Sylvie Galichet(1),Gabriella Pasi(1),Davide Ciucci(1),Gilles Mauris(1)
EUSFLAT Conf.,Bernard De Baets(23),Radko Mesiar(18),Irina Perfilieva(15),Didier Dubois(14),Vilém Novák(12),Hans E. De Meyer(12),Joan Torrens(12),Przemyslaw Grzegorzewski(11),Henri Prade(11),Christophe Labreuche(11)
EUSFLAT Conf. (1),Alexey N. Averkin(4),Rainer Hampel(3),Ulrich Bodenhofer(3),Michel Grabisch(3),Wolfgang Kästner(3),Ladislav J. Kohout(2),Balasubramaniam Jayaram(2),Endre Pap(2),Michal Baczynski 0001(2),Radko Mesiar(2)
EUSFLAT-ESTYLF Joint Conf.,Lluís Godo(5),Enric Trillas(4),Francesc Esteva(4),Radko Mesiar(4),Francisco Herrera(3),Bernard De Baets(3),Oscar Cordón(3),Carles Sierra(3),Pedro J. Burillo(3),Pedro Gil(3)
EUSFLAT/IWIFSGN (3),Cengiz Kahraman(5),Basar Öztaysi(5),Enrique Herrera-Viedma(4),Sezi Çevik Onar(4),Bernard De Baets(2),Carlos Porcel(2),Oscar Castillo 0001(2),Peter Vassilev(2),Chaichan Pothisarn(2),Maciej Krawczak(2)
EUSPN/ICTH,Elhadi M. Shakshuki(27),Ansar-Ul-Haque Yasar(21),Filipe Portela(12),Manuel Filipe Santos(11),Tarek R. Sheltami(9),Abderrahim Beni Hssane(9),Nishant Doshi(9),Amelec Viloria(8),Michal Gregus(8),José Machado 0001(8)
EVA,Jonathan P. Bowen(36),Kia Ng(25),Steve DiPaola(17),Nick Lambert(14),Tula Giannini(13),Graham Diprose(11),Carl H. Smith(9),Cristina Portugal(8),Sean M. Clark(8),Alain Renaud(7)
EVOL,Yolande Berbers(2),Laurence Duchien(2),Yves Vandewoude(2),Maja D'Hondt(2),Tom Mens(2),Naji Habra(1),Nassima Sadou(1),Reidar Conradi(1),Odd Petter N. Slyngstad(1),Anita Gupta(1)
EVOLVE,Michael T. M. Emmerich(6),Oliver Schütze(6),Humberto Sossa(4),Carlos A. Coello Coello(4),Gideon Avigad(4),Gustavo Olague(4),Emilia Tantar(4),Alexandru-Adrian Tantar(4),André H. Deutz(3),Eddie Clemente(3)
EWDTS,Vladimir Hahanov(55),Dmitry V. Efanov(42),Nikolay N. Prokopenko(39),Zainalabedin Navabi(29),Eugenia Litvinova(28),Valery V. Sapozhnikov(27),Vladimir V. Sapozhnikov(27),Svetlana Chumachenko(22),Virendra Singh(21),Anzhela Yu. Matrosova(20)
EWSA,Flávio Oquendo(6),Paola Inverardi(4),Ronald Morrison(4),Volker Gruhn(3),Brian Warboys(3),Rafael Capilla(3),Thaís Vasconcelos Batista(3),Clemens Schäfer(3),Carlos Enrique Cuesta Quintero(2),Sorana Cîmpan(2)
EWSDN,Eduardo Jacob(8),Elio Salvadori(8),Matteo Gerola(7),Pontus Sköldström(7),Jon Matías(6),Fulvio Risso(6),Balázs Sonkoly(5),Ivano Cerrato(5),Bartosz Belter(4),Umar Toseef(4)
EWSP,Joachim Hertzberg(2),Sam Steel(2),Han Reichgelt(1),Richard J. Waldinger(1),Simon Bartrum(1),Bernard Fade(1),Bertram Fronhöfer(1),Gerd Große(1),Stefan Materne(1),Pierre Régnier(1)
EWSPT,Reidar Conradi(16),Brian Warboys(14),Volker Gruhn(11),R. Mark Greenwood(11),Flávio Oquendo(10),Jean-Claude Derniame(9),Alfonso Fuggetta(8),Jacky Estublier(8),Vincenzo Ambriola(7),Ian Robertson(7)
EWiLi,Jalil Boukhobza(7),Frank Singhoff(5),Marco D. Santambrogio(4),José Rufino(4),Steffen Peter(2),Gedare Bloom(2),Eric Senn(2),Tom Springer(2),Jean-Philippe Diguet(2),Pierre Ficheux(2)
EXTRAAMAS@AAMAS,Amro Najjar(7),Kary Främling(6),Davide Calvaresi(5),Michael Ignaz Schumacher(2),Michael Schumacher 0001(2),Stéphane Galland(2),Michael Winikoff(2),Yazan Mualla(2),Timotheus Kampik(2),Helena Lindgren(1)
East/West Database Workshop,Joachim W. Schmidt(6),Florian Matthes(5),Leonid A. Kalinichenko(3),Paolo Atzeni(3),Kazimierz Subieta(3),M. Sh. Tsalenko(2),Letizia Tanca(2),Rainer Manthey(2),Gerti Kappel(2),Bernhard Thalheim(2)
EasyChair,Margarita V. Korovina(1),Andrei Voronkov(1)
Echtzeit,Wolfgang A. Halang(12),Herwig Unger(6),Dieter Zöbel(5),Roman Gumzej(4),Matthias Werner 0001(4),Peter Holleczek(4),Martin Däumler(4),Marcel Baunach(4),Jürgen Jasperneite(4),Marcel Schaible(4)
Economics of Information Security,Rachel Greenstadt(2),Alessandro Acquisti(2),Michael D. Smith 0001(1),Hal R. Varian(1),Ross J. Anderson(1),Philip H. Enslow Jr.(1),Anindya Ghose(1),Catherine Wolfram(1),Shamkant B. Navathe(1),Paul Thompson(1)
Educating Professionals for Network-Centric Organisation,J. Barrie Thompson(4),Hiroyuki Kojima(2),Andrew Slade(2),Simon Kerridge(2),Mikko J. Ruohonen(2),Toshio Okamoto(2),Timo Lainema(2),Hiroh Yamamoto(2),D. Grey(2),Kouji Yoshida(1)
Education for the 21st Century,Luis E. Anido-Rifón(2),Marina Keiko Nakayama(2),Boyka Gradinarova(2),Milena Gradinarova(2),Bianca Smith Pilla(2),George Frempong(1),Lenka Landryová(1),Marcelo Milrad(1),Mohamed Elzain(1),Roberto G. Aldunate(1)
Effective Databases for Text & Document Management,Youssef Amghar(2),Yangjun Chen(2),Airi Salminen(1),María del Mar Roldán García(1),Witold Abramowicz(1),Pasi Tiitinen(1),Ido Millet(1),Ianna M. S. F. de Sousa(1),Jakub Piskorski(1),Pável Calado(1)
Efficient Algorithms,Helmut Alt(2),Stefan Näher(2),Susanne Albers(2),Naveen Garg 0001(1),Sergey Bereg(1),Tetsuo Asano(1),Ulan Degenbaev(1),Benjamin Doerr(1),Jan Reineke(1),Norbert Blum(1)
Efficient Algorithms for Global Optimization Methods in Computer Vision,Xue-Cheng Tai(4),Andrés Bruhn(1),Michael Hintermüller(1),Guy Rosman(1),Daniel Cremers(1),Ulrich Rüde(1),Yu Wang 0029(1),Yuri Boykov(1),Tony F. Chan(1),Egil Bae(1)
Electron. Commun. Eur. Assoc. Softw. Sci. Technol.,Hartmut Ehrig(21),Reiko Heckel(19),Mark Minas(19),Claudia Ermel(17),Paolo Bottoni(14),Julia Padberg(13),Gabriele Taentzer(13),Frank Hermann 0001(13),Arend Rensink(12),Tihamer Levendovszky(12)
Electron. Gov. an Int. J.,Yogesh Kumar Dwivedi(11),Kongkiti Phusavat(9),Alan D. Smith(8),Jyoti Choudrie(8),Pornthep Anussornnitisarn(7),Emad Abu-Shanab(6),Petter Gottschalk(6),Vishanth Weerakkody(5),Binshan Lin(5),Gary P. Moynihan(4)
Electron. Libr.,Philip James Calvert(32),Alireza Isfandyari-Moghaddam(16),Howard Falk(15),Dusan Surla(10),Khalid Mahmood 0004(9),Hsin-Liang Chen(9),Stephen M. Mutula(9),Shien-Chiang Yu(8),Abdullah Abrizah(7),Kanwal Ameen(7)
Electron. Netw. Res. Appl. Policy,Bernd Pollermann(1),Tim Berners-Lee(1),Robert Cailliau(1),Jean-François Groff(1)
Electron. Notes Discret. Math.,Jayme Luiz Szwarcfiter(33),Rudolf Ahlswede(30),Celina M. H. de Figueiredo(25),Jaroslav Nesetril(21),Guillermo Durán(20),Oriol Serra(20),Marisa Gutierrez(18),Graciela L. Nasini(18),Yoshiharu Kohayakawa(18),Nenad Mladenovic(18)
Electronic Design Automation Frameworks,Tom Rhyne(2),Helena Sarmento(2),Lia Goldstein Golendziner(1),Markus Brandstetter(1),Jim Heaton(1),Günter von Bültzingsloewen(1),Walter Drangmeister(1),Bertram Després(1),Susan A. Dart(1),J. Miller(1)
Electronic Imaging,Alain Trémeau(3),Eberhard P. Hofer(2),Bernhard Hill(2),Werner Praefcke(2),Phil J. Green(2),Jamshid Dehmeshki(2),F. N. Hatfield(2),Friedhelm König(2),Christian Rembe(2),Ignace Lemahieu(2)
Electronic Visualisation in Arts and Culture,Kia Ng(2),Bret W. Tobalske(1),James Hemsley(1),Sophy Smith(1),Amir Soltani(1),Kirk A. Woolford(1),Emma Bevan(1),Andy Clarke(1),Steve DiPaola(1),Aleksei Kudikov(1)
Electronic Voting,Melanie Volkamer(11),Rüdiger Grimm(10),Robert Krimmer(9),Peter Y. A. Ryan(3),Oliver Spycher(3),Rolf Haenni(3),Thad E. Hall(3),Kai Reinhard(2),Julia Pomares(2),Stephan Neumann(2)
Elsevier,Dov M. Gabbay(11),John Woods 0001(10),Zoé Lacroix(1),Les Gasser(1),Terence Critchlow(1),Kazuo Tsuchiya(1),Francis Jeffry Pelletier(1),Kenneth W. Spence(1),Gilbert Laporte(1),Izzat Darwazeh(1)
Elsevier Science B.V./North-Holland,Christoph Beierle(1),Lutz Plümer(1)
Elwert,Franz-Josef Kockler(1),Frank Krüger 0002(1),Martin Gitzinger(1),Wolfram Viefhues(1),Axel Benning(1),Markus Ruffing 0001(1),Susanne Brinkhoff(1),Matthias Kraft(1)
EmNets,Cormac J. Sreenan(2),John A. Stankovic(2),Deborah Estrin(2),Martin Collier(1),D. K. Arvind(1),Stephan Gruber(1),Pavan Sikka(1),Christian Plessl(1),Andrew Parker 0001(1),Leo Selavo(1)
Embedded Flash Memory for Embedded Systems,Hideto Hidaka(2),Alfonso Maurelli(1),Tomoya Saito(1),Takashi Kono(1),Hieu Van Tran(1),Vipin Tiwari(1),Fabio Disegni(1),Alex Kotov(1),Takashi Ito(1),Antonino Conte(1)
Embedded Software for SoC,Mahmut T. Kandemir(5),Wei Zhang 0002(3),Ibrahim Kolcu(2),Rolf Ernst(2),Ismail Kadayif(2),Francky Catthoor(2),Fabian Wolf(2),Diana Marculescu(2),Vincent John Mooney III(2),Yosinori Watanabe(2)
Embedded Systems,Raymond T. Boute(3),Albert T. Kündig(2),Richard E. Bührer(1),Jochen Ludewig(1),Wolfgang Fichtner(1),Simon L. Peyton Jones(1),Jacques Dähler(1),Wolfgang Reisig(1),Harry Rudin(1)
Embedded Systems Development, From Functional Models to Implementations,Jürgen Teich(2),Michael Glaß(2),Marco Di Natale(1),Mikael Sjödin(1),Haibo Zeng(1),Arkadeb Ghosal(1),Jair Gonzalez-Pina(1),Kaushik Ravindran(1),William Plishker(1),Shuvra S. Bhattacharyya(1)
Embedded Systems and Applications,Baback A. Izadi(3),Thambipillai Srikanthan(3),Damu Radhakrishnan(2),Ki-Hyun Yoon(2),Ashraf M. Salem(2),Yeong Rak Seong(2),Sherif G. Aly(2),Vijayan K. Asari(2),Cheol-Hoon Lee(2),Tae Wan Kim(1)
Emerging Research, Practice, and Policy on Computational Thinking,Sarah Brasiel(2),Deborah G. Tatar(2),Kevin Close(2),Peter Musaeus(2),Kevin Lawanto(2),Julie Mueller(1),Ashok R. Basawapatna(1),Chris Frisina(1),Michael Rosen(1),Tarmo Toikkanen(1)
Emerging Technologies for 3D Video,Béatrice Pesquet-Popescu(3),Marco Cagnazzo(3),Frédéric Dufaux(2),Liang Zhang 0014(1),Mike Brookes(1),Alexander Sorkine-Hornung(1),Oliver Wang(1),Markus H. Gross(1),Ngai-Man Cheung(1),Didier Doyen(1)
Emerging Trends in the Evolution of Service-Oriented and Enterprise Architectures,Eman El-Sheikh(3),Matthias Wißotzki(3),Alfred Zimmermann(3),John W. Coffey(2),Michael Möhring(2),Rainer Schmidt 0001(2),Arthur B. Baskin(2),Kurt Sandkuhl(2),Anna Sonnenberger(1),Lakhmi C. Jain(1)
Emerging Uses and Paradigms for Dynamic Binary Translation,Jack W. Davidson(3),Koen De Bosschere(3),Mary Lou Soffa(3),Bruce R. Childers(3),Erven Rohou(2),Michael Franz(1),Robert Muth(1),Erik R. Altman(1),Christopher A. Vick(1),Jonas Maebe(1)
Emotions and Personality in Personalized Services,Andrej Kosir(2),Marco de Gemmis(2),Ante Odic(2),Marko Tkalcic(2),Sandra Matz(1),Berardina De Carolis(1),Gregor Strle(1),Björn W. Schuller(1),Pasquale Lops(1),Mirco Musolesi(1)
EmpiRE,Fabio Massacci(5),Sabrina Marczak(5),Federica Paci(4),Maya Daneva(4),Muneera Bano(4),Didar Zowghi(3),Nazim H. Madhavji(3),Anna Perini(3),Richard Berntsson-Svensson(3),Alessandro Marchetto(3)
Empirical Software Engineering Issues,Barbara A. Kitchenham(5),Richard W. Selby(5),Dietmar Pfahl(4),Marcus Ciolkowski(4),Victor R. Basili(4),H. Dieter Rombach(3),Andreas Jedlitschka(3),Kurt Schneider(3),Lionel C. Briand(3),Laurie A. Williams(3)
Empirical Theory and the Science of Software Engineering,James D. Herbsleb(2),Walter F. Tichy(2)
Empowering Open and Collaborative Governance,Maria A. Wimmer(2),Karol Furdík(1),Sabrina Scherer(1),José-Javier Martínez(1),Noella Edelmann(1),Tit Neubauer(1),Sotirios Koussouris(1),Marian Mach(1),Konstantinos Ergazakis(1),Martin Karlsson(1)
EnSEmble@ESEC/SIGSOFT FSE,Maria Teresa Baldassarre(3),Marina Mongiello(3),Francesco Nocera(3),Danilo Caivano(2),Maurizio Leotta(2),Mario Piattini(2),Antonio Bucchiarone(2),Eleni Stroulia(1),Antonio Brogi(1),Nicola Siena(1)
Enabling Intelligence through Middleware,Monica Anderson(3),Simon Parsons(1),Jeffrey R. Croxell(1),Ray Russell(1),Kim Wheeler(1),Max Korbel(1),Mike Stilman(1),Nicole Lesperance(1),Andrew McKenzie(1),Jason Tennyson(1)
Encyclopedia of Big Data Technologies,Behrooz Parhami(6),Bingsheng He(5),Levente Kocsis(4),Róbert Pálovics(4),Christof Fetzer(4),András A. Benczúr(4),Pramod Bhatotia(4),Martin Hirzel(4),Philippe Cudré-Mauroux(4),Sherif Sakr(3)
Encyclopedia of Cryptography and Security,Burton S. Kaliski Jr.(40),Gerrit Bleumer(35),Alex Biryukov(32),Peter Landrock(25),Carlisle Adams(24),Friedrich L. Bauer(20),Bart Preneel(17),Anne Canteaut(15),Christophe De Cannière(13),Yvo Desmedt(11)
Encyclopedia of Data Warehousing and Mining,Gustavo Camps-Valls(4),Alfredo Cuzzocrea(4),Zbigniew W. Ras(4),Christophe G. Giraud-Carrier(3),Ioannis N. Kouris(3),Elzbieta Malinowski(3),Esteban Zimányi(3),Yinghui Yang 0001(3),Ladjel Bellatreche(3),Hadrian Peter(2)
Encyclopedia of GIS,Xiaobo Zhou(16),Henry Lin(16),Chang-Tien Lu(14),Liping Di(12),Ilya Zaslavsky(12),Nikos Mamoulis(11),Peter Z. Revesz(9),Dimitrios Gunopulos(8),Marios Hadjieleftheriou(8),Sumeeta Srinivasan(8)
Encyclopedia of Information Science and Technology (I),Arthur Tatnall(2),Yung-Kuan Chan(2),El-Sayed Abou-Zeid(2),Venu K. Murthy(2),E. V. Krishnamurthy(2),Charles R. Graham(2),Philip J. Dobson(1),Felix B. Tan(1),Maurizio Rafanelli(1),Janse Tolmie(1)
Encyclopedia of Machine Learning,Geoffrey I. Webb(16),Claude Sammut(13),Xin Jin 0001(8),Jiawei Han 0001(8),Xinhua Zhang(7),Risto Miikkulainen(7),Johannes Fürnkranz(7),Hendrik Blockeel(6),Wray L. Buntine(5),Lise Getoor(5)
Encyclopedia of Machine Learning and Data Mining,Geoffrey I. Webb(17),Johannes Fürnkranz(14),Claude Sammut(13),Xin Jin 0001(8),Jiawei Han 0001(8),Xinhua Zhang(7),Risto Miikkulainen(7),Hendrik Blockeel(7),Wray L. Buntine(5),Marko Grobelnik(5)
Encyclopedia of Multimedia,Michael G. Strintzis(13),Shervin Shirmohammadi(12),Simone Santini(8),Hari Kalva(8),Abdulmotaleb El-Saddik(8),Wayne Robbins(8),Rastislav Lukac(8),Jauvane C. de Oliveira(8),Chabane Djeraba(8),Alan C. Bovik(7)
Encyclopedia of Systems and Control,Panos J. Antsaklis(11),Alessandro Astolfi(7),Harry L. Trentelman(4),Frederick E. Daum(3),Lars Grüne(2),Pierre Bernhard(2),Arthur J. Krener(2),Roberto Tempo(2),Andrew Packard(2),João Pedro Hespanha(2)
End-User Software Engineering,Margaret M. Burnett(5),Gregg Rothermel(5),Brad A. Myers(4),Gregor Engels(4),Marc Fisher II(2),Yvonne Dittrich(1),Steven Clarke(1),Joëlle Coutaz(1),Gerhard Fischer(1),Antonio Piccinno(1)
EndoCV,Danail Stoyanov(1),Enrico Grisan(1),Christian Daul(1),Sharib Ali(1),Jens Rittscher(1)
Enduser Systems and Their Human Factors,Magdalena Zoeppritz(3),Albrecht Blaser(2),Ben Shneiderman(1),Fritz Krückeberg(1),Phyllis Reisner(1),Walther von Hahn(1),Ulrich Schauer(1)
Eng. Appl. Artif. Intell.,Ajith Abraham(24),Sancho Salcedo-Sanz(14),Witold Pedrycz(13),Amitava Chatterjee(12),Jerry Chun-Wei Lin(11),Reza Tavakkoli-Moghaddam(11),Christine W. Chan(11),Ganesh K. Venayagamoorthy(10),Jin-Kao Hao(10),Ana García-Fornes(9)
Eng. Lett.,Oscar Castillo 0001(7),Alan H. S. Chan(6),Patricia Melin(5),Arnulfo Alanis Garza(5),R. Sukanesh(4),Shingo Kuroiwa(4),R. Harikumar(4),Fuji Ren(4),Mozammel H. A. Khan(4),David B. Bracewell(4)
Engineering Adaptive Software Systems,Yijun Yu(2),Lionel Montrieux(2),Zhenjiang Hu(2),Vladimír Matena(1),Xin Peng 0001(1),Patrick Martin(1),Andrea Zisman(1),Tomás Bures(1),Stepan Shevtsov(1),Rafael Roque Aschoff(1)
Engineering Design Applications,Michel A. Melkanoff(1),J. E. Schweitzer(1),Thomas Neumann 0002(1),King-Sun Fu(1),K. V. Bapa Rao(1),Christopher N. G. Dampney(1),Peter Honeyman(1),J. C. Emond(1),Mark A. Linton(1),Ali R. Kutay(1)
Enhanced Living Environments,Vladimir Trajkovik(2),Rossitza Goleva(2),Lucio Marcenaro(1),Feras N. Al-Obeidat(1),Johan Lilius(1),Kadian Davis-Owusu(1),Michal Elboim-Gabyzon(1),Natalia Díaz Rodríguez(1),Sintija Petrovica(1),Evans Owusu(1)
Enjoying Natural Computing,Agustín Riscos-Núñez(3),Xiangxiang Zeng(2),Linqiang Pan(2),Erzsébet Csuhaj-Varjú(2),Carmen Graciani Díaz(2),Sergiu Ivanov 0001(2),Francis George C. Cabarle(1),Radu Nicolescu(1),Alberto Leporati(1),Juan Castellanos Peñuela(1)
Ensembles in Machine Learning Applications,Terry Windeatt(3),Oriol Pujol(2),Petia Radeva(2),Carlos Pardo(1),Alex Aussem(1),Georgi I. Nalbantov(1),Xavier Baró(1),Giuliano Armano(1),Katharina Morik(1),Matteo Re(1)
Enterp. Inf. Syst.,Lida Xu(21),Zhuming Bi(10),Li Da Xu(9),W. H. Ip(7),Yuyue Du(7),Fei Tao(7),Junwei Wang 0001(7),Chun-Ho Wu(6),Marten van Sinderen(6),Frank Leymann(6)
Entwurf großer Software-Systeme,Werner Remmele(5),Horst Morgenbrod(5),Claus Lewerentz(1),Christiane Floyd(1),Peter Schnupp(1),T. Lützeler(1),Jack Gorissen(1),Ute Leibrandt(1),Stephan Zorn(1),Peter Graubmann(1)
EnviroInfo (2),Jorge Marx Gómez(12),Volker Wohlgemuth(8),Jochen Wittmann(6),Rainer Brüggemann(5),Leo Wanner(5),Margaret M. MacDonell(4),Kristina Voigt(4),Hans-Knud Arndt(4),Ralf Isenmann(4),Bernd Page(4)
Epubli,Claudio Fantinuoli(1)
Equilibrium Computation,Peter Bro Miltersen(4),Bernhard von Stengel(4),P. Jean-Jacques Herings(3),Nimrod Megiddo(2),Marcin Jurdzinski(2),Éva Tardos(2),Edith Elkind(2),Vijay V. Vazirani(2),Anne Balthasar(1),James B. Orlin(1)
Ergo'IHM,Régis Mollard(4),Marion Wolff(4),Nicolas Roussel(3),Franck Poirier(3),J. M. Christian Bastien(3),Gilles Coppin(2),Frédéric Vanderhaegen(2),Gaëlle Calvary(2),Christophe Kolski(2),Géry Casiez(2)
Erich Schmidt,Joachim E. Röss(1),Wolfgang Zillessen(1),Roman R. Laczkovich(1),Thomas Wardin(1),Alfred Huber(1),Jens Knoop(1),Peter Helberg(1),Kurt B. Bellmann(1),Marcus Collardin(1),Barbara Kirchberg-Lennartz(1)
EsTAL,Nuno J. Mamede(3),Maximiliano Saiz-Noeda(2),Emilio Sanchis(2),Rafael Muñoz 0001(2),Bruno Martins 0001(2),Patricio Martínez-Barco(2),Mário J. Silva(2),Lluís Padró(2),Mikel L. Forcada(2),José Luis Vicedo González(2)
Essays in Memory of Amir Pnueli,Amir Pnueli(2),Doron A. Peled(2),Zohar Manna(2),Moshe Y. Vardi(1),Radhia Cousot(1),Tony Hoare(1),Jens Oehlerking(1),Nir Piterman(1),Arjun Radhakrishna(1),Saddek Bensalem(1)
Essays in Memory of Ole-Johan Dahl,Olaf Owe(4),Tom Lyche(3),Stein Krogdahl(3),Neelam Soundarajan(1),Mark-Oliver Stehr(1),Einar Broch Johnsen(1),Bertrand Meyer 0001(1),Joseph A. Goguen(1),Gul Agha(1),Michel Sintzoff(1)
Essen Symposium,Ahmed Hebni Helal(12),Joachim W. Weiss(12),Shmuel Sever(6),Maurice B. Line(6),Kathleen T. Bivins Noerr(5),Sigrid Reinitzer(5),F. W. Lancaster(4),Herbert S. White(4),Irene Sever(4),Bernard Gallivan(4)
Essential Speech and Language Technology for Dutch,Catia Cucchiarini(3),Gertjan van Noord(3),Peter Spyns(3),Frank Van Eynde(2),Kris Demuynck(2),Henk van den Heuvel(2),Hugo Van hamme(2),Vincent Vandeghinste(2),Maarten de Rijke(2),Gerrit Bloothooft(2)
